idx,name,n_ops,bks,feasible,makespan,missing_op_count,routing_order_violations,machine_capacity_violations,timing_consistency_violations,precedence_violations,total_violations,ops_emitted,ops_expected,gen_time_s
0,,49,1972,True,2214,0,0,0,0,0,0,49,49,8.55
1,,18,120,True,120,0,0,0,0,0,0,18,18,2.89
2,,18,76,True,76,0,0,0,0,0,0,18,18,2.86
3,,24,2320,True,2320,0,0,0,0,0,0,24,24,4.11
4,,24,2464,True,2464,0,0,0,0,0,0,24,24,4.15
5,,60,1165,False,1348,0,0,2,0,0,2,60,60,10.06
6,,60,1160,True,1272,0,0,0,0,0,0,60,60,10.01
7,,27,673,True,673,0,0,0,0,0,0,27,27,4.33
8,,24,1335,True,1407,0,0,0,0,0,0,24,24,4.0
9,,81,90,True,110,0,0,0,0,0,0,83,81,13.86
10,,14,939,True,1002,0,0,0,0,0,0,14,14,2.26
11,,10,741,True,741,0,0,0,0,0,0,10,10,1.63
12,,4,92,True,92,0,0,0,0,0,0,4,4,0.7
13,,90,4009,False,4347,0,44,132,15,32,223,210,90,46.34
14,,64,1258,True,1461,0,0,0,0,0,0,64,64,10.99
15,,16,1290,True,1290,0,0,0,0,0,0,16,16,2.65
16,,49,1715,True,1921,0,0,0,0,0,0,49,49,8.4
17,,30,1913,True,1971,0,0,0,0,0,0,30,30,5.08
18,,48,571,True,571,0,0,0,0,0,0,48,48,7.68
19,,18,2377,True,2377,0,0,0,0,0,0,18,18,3.12
20,,36,1375,True,1384,0,0,0,0,0,0,36,36,6.06
21,,9,1166,True,1166,0,0,0,0,0,0,9,9,1.56
22,,81,2331,True,3031,0,0,0,0,0,0,85,81,15.84
23,,21,1641,True,1679,0,0,0,0,0,0,21,21,3.52
24,,12,868,True,868,0,0,0,0,0,0,12,12,1.94
25,,16,1462,True,1462,0,0,0,0,0,0,16,16,2.67
26,,80,3228,False,4873,1,4,0,1,0,6,83,80,15.7
27,,40,1926,True,1982,0,0,0,0,0,0,40,40,7.0
28,,28,1303,True,1336,0,0,0,0,0,0,28,28,4.58
29,,81,1541,True,1671,0,0,0,0,0,0,81,81,14.14
30,,50,2579,True,2704,0,0,0,0,0,0,50,50,8.9
31,,24,1364,True,1633,0,0,0,0,0,0,24,24,3.97
32,,15,817,True,849,0,0,0,0,0,0,15,15,2.41
33,,36,2440,True,2440,0,0,0,0,0,0,36,36,6.24
34,,90,1161,True,1528,0,0,0,0,0,0,100,90,17.5
35,,30,567,True,634,0,0,0,0,0,0,30,30,4.81
36,,30,2848,True,3201,0,0,0,0,0,0,30,30,5.28
37,,60,955,True,1078,0,0,0,0,0,0,60,60,9.89
38,,45,1257,True,1429,0,0,0,0,0,0,45,45,7.57
39,,4,670,True,670,0,0,0,0,0,0,4,4,0.7
40,,30,2019,True,2175,0,0,0,0,0,0,30,30,5.09
41,,48,2732,True,2732,0,0,0,0,0,0,48,48,8.52
42,,27,1993,True,2219,0,0,0,0,0,0,27,27,4.55
43,,14,284,True,297,0,0,0,0,0,0,14,14,2.26
44,,28,1289,True,1289,0,0,0,0,0,0,28,28,4.58
45,,25,945,True,951,0,0,0,0,0,0,25,25,4.0
46,,36,1921,True,2065,0,0,0,0,0,0,36,36,6.16
47,,42,1664,True,1802,0,0,0,0,0,0,42,42,7.36
48,,12,135,True,155,0,0,0,0,0,0,12,12,1.94
49,,30,824,True,824,0,0,0,0,0,0,30,30,4.76
50,,100,2367,False,4653,0,16,111,12,13,152,288,100,64.18
51,,24,981,True,1111,0,0,0,0,0,0,24,24,3.86
52,,90,2122,True,2843,0,0,0,0,0,0,98,90,18.08
53,,24,694,True,694,0,0,0,0,0,0,24,24,3.84
54,,36,1806,True,1889,0,0,0,0,0,0,36,36,6.18
55,,48,143,True,165,0,0,0,0,0,0,48,48,7.76
56,,81,2288,True,2925,0,0,0,0,0,0,85,81,15.49
57,,24,592,True,626,0,0,0,0,0,0,24,24,3.8
58,,54,198,True,246,0,0,0,0,0,0,54,54,8.78
59,,32,586,True,615,0,0,0,0,0,0,32,32,5.13
60,,8,165,True,165,0,0,0,0,0,0,8,8,1.33
61,,30,164,True,164,0,0,0,0,0,0,30,30,4.78
62,,72,1916,True,2370,0,0,0,0,0,0,72,72,12.87
63,,20,496,True,496,0,0,0,0,0,0,20,20,3.19
64,,32,1157,True,1157,0,0,0,0,0,0,32,32,5.11
65,,49,2645,True,3338,0,0,0,0,0,0,49,49,8.67
66,,8,1007,True,1007,0,0,0,0,0,0,8,8,1.32
67,,25,716,True,750,0,0,0,0,0,0,25,25,3.96
68,,100,872,True,1011,0,0,0,0,0,0,104,100,17.73
69,,100,1286,True,1711,0,0,0,0,0,0,105,100,18.68
70,,36,1834,True,2086,0,0,0,0,0,0,36,36,6.23
71,,54,3031,True,3604,0,0,0,0,0,0,54,54,9.88
72,,70,1869,True,2144,0,0,0,0,0,0,70,70,12.6
73,,81,496,True,622,0,0,0,0,0,0,84,81,14.06
74,,12,731,True,731,0,0,0,0,0,0,12,12,1.94
75,,54,2569,True,3010,0,0,0,0,0,0,54,54,9.57
76,,27,877,True,893,0,0,0,0,0,0,27,27,4.32
77,,28,1879,True,2033,0,0,0,0,0,0,28,28,4.77
78,,40,947,True,997,0,0,0,0,0,0,40,40,6.45
79,,100,789,False,1347,0,0,1,0,0,1,115,100,20.07
80,,30,655,True,684,0,0,0,0,0,0,30,30,4.77
81,,45,1314,True,1394,0,0,0,0,0,0,45,45,7.45
82,,40,279,True,301,0,0,0,0,0,0,40,40,6.38
83,,40,2281,True,2378,0,0,0,0,0,0,40,40,6.96
84,,10,551,True,579,0,0,0,0,0,0,10,10,1.63
85,,36,1807,True,1807,0,0,0,0,0,0,36,36,6.18
86,,10,860,True,860,0,0,0,0,0,0,10,10,1.61
87,,60,3023,True,3494,0,0,0,0,0,0,60,60,10.82
88,,24,1125,True,1125,0,0,0,0,0,0,24,24,3.88
89,,20,1806,True,1863,0,0,0,0,0,0,20,20,3.38
90,,20,873,True,873,0,0,0,0,0,0,20,20,3.19
91,,30,2023,True,2116,0,0,0,0,0,0,30,30,5.18
92,,42,939,True,1063,0,0,0,0,0,0,42,42,6.82
93,,16,328,True,328,0,0,0,0,0,0,16,16,2.56
94,,21,519,True,520,0,0,0,0,0,0,21,21,3.35
95,,12,193,True,223,0,0,0,0,0,0,12,12,1.93
96,,9,72,True,75,0,0,0,0,0,0,9,9,1.47
97,,6,419,True,419,0,0,0,0,0,0,6,6,1.0
98,,49,499,True,566,0,0,0,0,0,0,49,49,7.91
99,,16,1806,True,1806,0,0,0,0,0,0,16,16,2.7
100,,12,1356,True,1356,0,0,0,0,0,0,12,12,1.96
101,,32,536,True,556,0,0,0,0,0,0,32,32,5.15
102,,9,987,True,987,0,0,0,0,0,0,9,9,1.46
103,,50,2179,True,2392,0,0,0,0,0,0,50,50,8.74
104,,30,1236,True,1281,0,0,0,0,0,0,30,30,4.82
105,,40,2102,True,2383,0,0,0,0,0,0,40,40,7.03
106,,9,1037,True,1037,0,0,0,0,0,0,9,9,1.47
107,,54,1100,True,1264,0,0,0,0,0,0,54,54,8.97
108,,100,2524,False,4465,0,36,140,12,25,213,284,100,64.09
109,,15,562,True,562,0,0,0,0,0,0,15,15,2.4
110,,30,1426,True,1454,0,0,0,0,0,0,30,30,5.1
111,,8,59,True,59,0,0,0,0,0,0,8,8,1.32
112,,81,2212,False,2433,0,0,1,0,0,1,82,81,15.09
113,,21,1238,True,1238,0,0,0,0,0,0,21,21,3.43
114,,81,992,True,1309,0,0,0,0,0,0,81,81,13.7
115,,36,1663,True,1707,0,0,0,0,0,0,36,36,6.21
116,,60,649,True,744,0,0,0,0,0,0,60,60,9.83
117,,18,1539,True,1539,0,0,0,0,0,0,18,18,3.01
118,,35,1347,True,1443,0,0,0,0,0,0,35,35,5.75
119,,21,1834,True,1904,0,0,0,0,0,0,21,21,3.55
120,,27,2392,True,2392,0,0,0,0,0,0,27,27,4.65
121,,18,1218,True,1218,0,0,0,0,0,0,18,18,2.93
122,,45,1534,True,1695,0,0,0,0,0,0,45,45,7.49
123,,16,1404,True,1428,0,0,0,0,0,0,16,16,2.63
124,,12,96,True,96,0,0,0,0,0,0,12,12,1.94
125,,18,1082,True,1082,0,0,0,0,0,0,18,18,2.87
126,,90,563,True,632,0,0,0,0,0,0,91,90,15.28
127,,9,655,True,655,0,0,0,0,0,0,9,9,1.47
128,,16,982,True,982,0,0,0,0,0,0,16,16,2.54
129,,4,638,True,638,0,0,0,0,0,0,4,4,0.7
130,,16,646,True,646,0,0,0,0,0,0,16,16,2.55
131,,36,1110,True,1110,0,0,0,0,0,0,36,36,5.88
132,,42,1385,True,1497,0,0,0,0,0,0,42,42,7.16
133,,9,645,True,682,0,0,0,0,0,0,9,9,1.46
134,,48,741,True,856,0,0,0,0,0,0,48,48,7.76
135,,27,1895,True,2030,0,0,0,0,0,0,27,27,4.55
136,,35,667,True,676,0,0,0,0,0,0,35,35,5.62
137,,16,874,True,874,0,0,0,0,0,0,16,16,2.54
138,,16,329,True,334,0,0,0,0,0,0,16,16,2.56
139,,45,1882,True,2065,0,0,0,0,0,0,45,45,7.75
140,,54,2525,True,2782,0,0,0,0,0,0,54,54,9.6
141,,50,267,True,267,0,0,0,0,0,0,50,50,8.11
142,,12,1214,True,1214,0,0,0,0,0,0,12,12,1.97
143,,72,1267,True,1479,0,0,0,0,0,0,72,72,12.53
144,,24,433,True,434,0,0,0,0,0,0,24,24,3.84
145,,42,2043,True,2323,0,0,0,0,0,0,42,42,7.53
146,,49,2021,True,2083,0,0,0,0,0,0,49,49,8.59
147,,50,1672,True,1848,0,0,0,0,0,0,50,50,8.72
148,,18,337,True,337,0,0,0,0,0,0,18,18,2.88
149,,16,2140,True,2140,0,0,0,0,0,0,16,16,2.7
150,,30,1577,True,1904,0,0,0,0,0,0,30,30,5.14
151,,80,2704,True,3072,0,0,0,0,0,0,80,80,14.82
152,,14,1667,True,1667,0,0,0,0,0,0,14,14,2.33
153,,30,1143,True,1296,0,0,0,0,0,0,30,30,4.8
154,,40,1329,True,1525,0,0,0,0,0,0,40,40,6.68
155,,20,517,True,544,0,0,0,0,0,0,20,20,3.19
156,,80,2335,True,2737,0,0,0,0,0,0,80,80,14.58
157,,15,557,True,557,0,0,0,0,0,0,15,15,2.41
158,,72,1455,True,1491,0,0,0,0,0,0,72,72,12.32
159,,49,507,True,534,0,0,0,0,0,0,49,49,7.92
160,,10,22,True,22,0,0,0,0,0,0,10,10,1.65
161,,45,1549,True,1606,0,0,0,0,0,0,45,45,7.65
162,,70,155,True,192,0,0,0,0,0,0,70,70,11.58
163,,9,658,True,670,0,0,0,0,0,0,9,9,1.47
164,,16,287,True,287,0,0,0,0,0,0,16,16,2.54
165,,10,1178,True,1200,0,0,0,0,0,0,10,10,1.65
166,,9,815,True,839,0,0,0,0,0,0,9,9,1.46
167,,12,142,True,142,0,0,0,0,0,0,12,12,1.94
168,,24,2328,True,2328,0,0,0,0,0,0,24,24,4.09
169,,45,2515,True,2515,0,0,0,0,0,0,45,45,7.85
170,,20,1699,True,1699,0,0,0,0,0,0,20,20,3.4
171,,18,1405,True,1469,0,0,0,0,0,0,18,18,2.99
172,,35,1261,True,1452,0,0,0,0,0,0,35,35,5.79
173,,14,788,True,788,0,0,0,0,0,0,14,14,2.25
174,,35,1484,True,1562,0,0,0,0,0,0,35,35,5.82
175,,50,2098,False,1995,3,0,0,0,0,3,47,50,8.09
176,,16,895,True,957,0,0,0,0,0,0,16,16,2.54
177,,60,1529,True,1720,0,0,0,0,0,0,60,60,10.45
178,,25,1381,True,1472,0,0,0,0,0,0,25,25,4.14
179,,81,3033,False,3029,1,0,0,0,0,1,80,81,14.85
180,,20,1068,True,1088,0,0,0,0,0,0,20,20,3.23
181,,30,265,True,282,0,0,0,0,0,0,30,30,4.8
182,,27,2309,True,2337,0,0,0,0,0,0,27,27,4.62
183,,72,490,True,520,0,0,0,0,0,0,72,72,11.94
184,,36,383,True,444,0,0,0,0,0,0,36,36,5.78
185,,40,140,True,140,0,0,0,0,0,0,40,40,6.44
186,,81,1599,False,1840,0,0,2,0,0,2,81,81,14.25
187,,35,829,True,865,0,0,0,0,0,0,35,35,5.62
188,,80,1564,True,1598,0,0,0,0,0,0,80,80,13.89
189,,80,1682,True,1915,0,0,0,0,0,0,80,80,14.25
190,,50,1375,True,1423,0,0,0,0,0,0,50,50,8.57
191,,24,817,True,828,0,0,0,0,0,0,24,24,3.84
192,,56,1458,True,1626,0,0,0,0,0,0,56,56,9.67
193,,15,543,True,543,0,0,0,0,0,0,15,15,2.4
194,,6,1121,True,1121,0,0,0,0,0,0,6,6,1.03
195,,45,1243,True,1404,0,0,0,0,0,0,45,45,7.51
196,,9,861,True,878,0,0,0,0,0,0,9,9,1.47
197,,36,360,True,403,0,0,0,0,0,0,36,36,5.72
198,,56,2965,True,3545,0,0,0,0,0,0,56,56,10.06
199,,21,431,True,493,0,0,0,0,0,0,21,21,3.35
